layer,public_use,next_gate,region_id,country,kind,source_type,confidence_tier,published_annual_twh,include_in_source_verified_floor,include_in_modelled_envelope,annual_value_basis,definition_notes,source,source_url,validation_doc
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",atacama,CHL,solar,direct_operator_workbook,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,CEN Chile XLSX,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,docs/validation/atacama.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-go-solar,BRA,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-go-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-go-wind,BRA,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-go-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-maranhao-solar,BRA,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-maranhao-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-mg-wind,BRA,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-mg-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-mt-solar,BRA,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-mt-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-mt-wind,BRA,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-mt-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-other-solar,BRA,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-other-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-other-wind,BRA,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-other-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-pr-solar,BRA,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-pr-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-pr-wind,BRA,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-pr-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-rs-solar,BRA,solar,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-rs-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",brazil-sp-wind,BRA,wind,direct_constrained_off,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-sp-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",bulgaria-solar,BGR,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E ESO solar,https://transparency.entsoe.eu/,docs/validation/bulgaria-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",bulgaria-wind,BGR,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E ESO wind,https://transparency.entsoe.eu/,docs/validation/bulgaria-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",croatia-solar,HRV,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E HOPS solar,https://transparency.entsoe.eu/,docs/validation/croatia-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",croatia-wind,HRV,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E HOPS wind,https://transparency.entsoe.eu/,docs/validation/croatia-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",czech-republic-solar,CZE,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E CEPS solar,https://transparency.entsoe.eu/,docs/validation/czech-republic-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",czech-republic-wind,CZE,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E CEPS wind,https://transparency.entsoe.eu/,docs/validation/czech-republic-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",ercot-native-east,,,live_operator_feed,T1-live-TSO,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,,,
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",ercot-native-west,,,live_operator_feed,T1-live-TSO,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,,,
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",estonia,EST,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Elering,https://transparency.entsoe.eu/,docs/validation/estonia.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",finland-solar,FIN,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E A75 FI B16 solar,https://transparency.entsoe.eu/,docs/validation/finland-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",germany-wind,DEU,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E BNetzA/SMARD wind,https://transparency.entsoe.eu/,docs/validation/germany-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",greece-solar,GRC,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E IPTO 2024 solar,https://transparency.entsoe.eu/,docs/validation/greece-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",greece-wind,GRC,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E IPTO 2024 wind,https://transparency.entsoe.eu/,docs/validation/greece-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",hungary-solar,HUN,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E MAVIR solar,https://transparency.entsoe.eu/,docs/validation/hungary-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",hungary-wind,HUN,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E MAVIR wind,https://transparency.entsoe.eu/,docs/validation/hungary-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",ireland-republic-solar,IRL,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,EirGrid/SONI DD half-hourly workbook (ROI 58% solar share fallback),https://www.eirgrid.ie/grid/system-and-renewable-data-reports,docs/validation/ireland-republic-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",ireland-republic-wind,IRL,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,EirGrid/SONI DD half-hourly workbook (ROI 58% of all-island DD),https://www.eirgrid.ie/grid/system-and-renewable-data-reports,docs/validation/ireland-republic-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",italy-north-zone-solar,ITA,solar,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Terna North zone solar,https://transparency.entsoe.eu/,docs/validation/italy-north-zone-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",italy-north-zone-wind,ITA,wind,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Terna North zone wind,https://transparency.entsoe.eu/,docs/validation/italy-north-zone-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",italy-sardinia-solar,ITA,solar,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Terna Sardinia solar,https://transparency.entsoe.eu/,docs/validation/italy-sardinia-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",italy-sardinia-wind,ITA,wind,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Terna Sardinia wind,https://transparency.entsoe.eu/,docs/validation/italy-sardinia-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",italy-sicily-solar,ITA,solar,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Terna Sicily solar,https://transparency.entsoe.eu/,docs/validation/italy-sicily-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",italy-sicily-wind,ITA,wind,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Terna Sicily wind,https://transparency.entsoe.eu/,docs/validation/italy-sicily-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",japan-tohoku,JPN,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,ambiguous source-note annual hint; manual extraction required,,"Tohoku Electric area supply/demand CSV — direct 太陽光出力制御量+風力出力制御量 columns (MW, 30-min). Solar-dominant (>95% of measured curtailment). FY2023 OCCTO anchor: 0.13 TWh; rising ~1.5-2 TWh/yr.",https://setsuden.nw.tohoku-epco.co.jp/common/demand/realtime_jukyu/,docs/validation/japan-tohoku.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",latvia,LVA,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E AST,https://transparency.entsoe.eu/,docs/validation/latvia.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",lithuania,LTU,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Litgrid,https://transparency.entsoe.eu/,docs/validation/lithuania.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",luxembourg-solar,LUX,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Cegedel solar,https://transparency.entsoe.eu/,docs/validation/luxembourg-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",luxembourg-wind,LUX,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Cegedel wind,https://transparency.entsoe.eu/,docs/validation/luxembourg-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",moldova-solar,MDA,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Moldelectrica solar (MEPSO protocol),https://transparency.entsoe.eu/,docs/validation/moldova-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",moldova-wind,MDA,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Moldelectrica wind (MEPSO protocol),https://transparency.entsoe.eu/,docs/validation/moldova-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",montenegro,MNE,hydro,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E CGES,https://transparency.entsoe.eu/,docs/validation/montenegro.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",netherlands-solar,NLD,solar,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E IEEFA 2024 solar,https://transparency.entsoe.eu/,docs/validation/netherlands-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",netherlands-wind,NLD,wind,live_operator_feed,T1b-live-domestic-anchored,,no_pending_annual_aggregation,no,ambiguous source-note annual hint; manual extraction required,,ENTSO-E IEEFA 2024 wind,https://transparency.entsoe.eu/,docs/validation/netherlands-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",north-macedonia-solar,MKD,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E MEPSO solar,https://transparency.entsoe.eu/,docs/validation/north-macedonia-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",north-macedonia-wind,MKD,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E MEPSO wind,https://transparency.entsoe.eu/,docs/validation/north-macedonia-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",northern-ireland-solar,GBR,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,EirGrid/SONI DD half-hourly workbook (NI 42% solar share fallback),https://www.eirgrid.ie/grid/system-and-renewable-data-reports,docs/validation/northern-ireland-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",northern-ireland-wind,GBR,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,EirGrid/SONI DD half-hourly workbook (NI 42% of all-island DD),https://www.eirgrid.ie/grid/system-and-renewable-data-reports,docs/validation/northern-ireland-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",poland-solar,POL,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E URE 2024 solar,https://transparency.entsoe.eu/,docs/validation/poland-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",poland-wind,POL,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E URE 2024 wind,https://transparency.entsoe.eu/,docs/validation/poland-wind.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",portugal-solar,PRT,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E REN solar,https://transparency.entsoe.eu/,docs/validation/portugal-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",romania-solar,ROU,solar,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Transelectrica solar,https://transparency.entsoe.eu/,docs/validation/romania-solar.md
measured_feed_needs_calendar_year_aggregation,do_not_publish_annual_floor_until_calendar_year_sum_is_reproduced,"retrieve raw measured series, apply documented formula, sum the target calendar year",romania-wind,ROU,wind,live_operator_feed,T1a-live-tso,,no_pending_annual_aggregation,no,needs calendar-year aggregation or source-note validation,,ENTSO-E Transelectrica wind,https://transparency.entsoe.eu/,docs/validation/romania-wind.md
