priority,readiness_label,region_id,country,kind,source_type,published_annual_twh,include_in_source_verified_floor,include_in_modelled_envelope,manual_review_required,annual_value_basis,definition_notes,source,source_url,validation_doc
P1,near_ready_needs_calendar_year_aggregation,aemo-qld-solar,AUS,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-qld-solar.md
P1,near_ready_needs_calendar_year_aggregation,aemo-qld-wind,AUS,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-qld-wind.md
P1,near_ready_needs_calendar_year_aggregation,aemo-sa-solar,AUS,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-sa-solar.md
P1,near_ready_needs_calendar_year_aggregation,aemo-sa-wind,AUS,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-sa-wind.md
P1,near_ready_needs_calendar_year_aggregation,aemo-tas-solar,AUS,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-tas-solar.md
P1,near_ready_needs_calendar_year_aggregation,aemo-tas-wind,AUS,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-tas-wind.md
P1,near_ready_needs_calendar_year_aggregation,aemo-vic-solar,AUS,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-vic-solar.md
P1,near_ready_needs_calendar_year_aggregation,aemo-vic-wind,AUS,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,docs/validation/aemo-vic-wind.md
P1,near_ready_needs_calendar_year_aggregation,atacama,CHL,solar,direct_operator_workbook,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,CEN Chile XLSX,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,docs/validation/atacama.md
P1,near_ready_needs_calendar_year_aggregation,brazil-bahia-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-bahia-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-bahia-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-bahia-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-ce-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-ce-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-ce-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-ce-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-go-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-go-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-go-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-go-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-maranhao-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-maranhao-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-maranhao-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-maranhao-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-mg-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-mg-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-mg-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-mg-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-mt-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-mt-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-mt-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-mt-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-other-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-other-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-other-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-other-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-paraiba-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-paraiba-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-paraiba-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-paraiba-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-pernambuco-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-pernambuco-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-pernambuco-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-pernambuco-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-piaui-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-piaui-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-piaui-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-piaui-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-pr-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-pr-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-pr-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-pr-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-rn-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-rn-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-rn-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-rn-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-rs-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-rs-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-rs-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-rs-wind.md
P1,near_ready_needs_calendar_year_aggregation,brazil-sp-solar,BRA,solar,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,docs/validation/brazil-sp-solar.md
P1,near_ready_needs_calendar_year_aggregation,brazil-sp-wind,BRA,wind,direct_constrained_off,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,docs/validation/brazil-sp-wind.md
P1,near_ready_needs_calendar_year_aggregation,chile-wind,CHL,wind,direct_operator_workbook,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,CEN Chile monthly XLSX wind reductions,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,docs/validation/chile-wind.md
P1,hold_relay_provenance,colombia,COL,hydro,domestic_direct_with_relay,,hold_for_human_review_colombia_relay,no,yes,ambiguous source-note annual hint; manual extraction required,,"XM SinerGox API (servapibi.xm.com.co/daily, POST MetricId=VertEner Entity=Sistema) — direct live path tried first; committed CSV relay fallback if geoblocked. Trailing-365-day annualised total. 5-yr baseline 7.53 TWh/yr (range 0.53–13.12 TWh/yr ENSO-driven). Bimodal hydro-seasonal shape (Apr–Jun + Oct–Nov peaks). T1b, ±50% envelope.",https://servapibi.xm.com.co/daily,docs/validation/colombia.md
P1,near_ready_needs_calendar_year_aggregation,uruguay,URY,wind,direct_operator_workbook,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ADME hourly Restricciones Operativas workbook,https://www.adme.com.uy/panelControl/ro_excel.php,docs/validation/uruguay.md
P2,needs_source_note_validation,spain-wind,ESP,wind,live_operator_feed,6.800000,candidate_after_manual_validation,no,yes,source-note annual hint; manual validation required,,ENTSO-E REE wind,https://transparency.entsoe.eu/,docs/validation/spain-wind.md
P2,needs_manual_validation,japan-kyushu,JPN,solar,generation_or_feed_x_rate,1.700000,candidate_after_manual_validation,no,yes,source-note annual hint; manual validation required,generation/feed multiplied by citable or assumed curtailment rate; check source scope,Kyushu Electric area-demand CSV (5-min solar) × 10% calibrated curtailment (OCCTO FY2024 Kyushu anchor: ~1.7 TWh/yr),https://www.kyuden.co.jp/td_power_usages/pc.html,docs/validation/japan-kyushu.md
P2,needs_source_note_validation,germany-solar,DEU,solar,live_operator_feed,1.390000,candidate_after_manual_validation,no,yes,source-note annual hint; manual validation required,,ENTSO-E BNetzA/SMARD solar,https://transparency.entsoe.eu/,docs/validation/germany-solar.md
P2,proxy_needs_anchor_validation_or_demotion,alberta-solar,CAN,solar,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,AESO solar snapshot,http://ets.aeso.ca/ets_web/ip/Market/Reports/CSDReportServlet,docs/validation/alberta-solar.md
P2,proxy_needs_anchor_validation_or_demotion,alberta-wind,CAN,wind,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,AESO wind snapshot,http://ets.aeso.ca/ets_web/ip/Market/Reports/CSDReportServlet,docs/validation/alberta-wind.md
P2,proxy_needs_anchor_validation_or_demotion,belgium-solar,BEL,solar,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,Elia Open Data solar,https://opendata.elia.be/,docs/validation/belgium-solar.md
P2,proxy_needs_anchor_validation_or_demotion,belgium-wind,BEL,wind,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,Elia Open Data wind,https://opendata.elia.be/,docs/validation/belgium-wind.md
P2,proxy_needs_anchor_validation_or_demotion,bpa,,,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,,,
P2,proxy_needs_anchor_validation_or_demotion,caiso,,,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,,,
P2,proxy_needs_anchor_validation_or_demotion,denmark,,,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,,,
P2,proxy_needs_anchor_validation_or_demotion,ercot-east,,,generation_or_feed_x_rate,,no_pending_annual_aggregation,no,no,needs calendar-year aggregation or source-note validation,generation/feed multiplied by citable or assumed curtailment rate; check source scope,,,
