report_title,date,fuel,from_time,to_time,actual_generation_mw,relief_mw,reason,source_url,extraction_method,confidence,notes
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-24,solar,11:08,15:00,6983,135,Due to overloading of ICT's at 400 KV GSS Bhadla,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 10.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-24,solar,12:23,15:00,6984,140,Due to overloading of ICT's at 400 KV GSS Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 11.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-27,solar,10:25,12:09,6615,102,Due to overloading of ICT at 400 KV Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 14.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-27,solar,10:50,15:02,7008,105,Due to overloading of ICT at 400 KV Bhadla,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 15.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-27,solar,12:09,15:32,7170,90,Due to overloading of ICT at 400 KV Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 16.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-28,solar,11:01,15:31,7470,95,Due to overloading on ICT's at Bikaner and 220 KV Gajner-Bikaner line,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 17.
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-28,solar,11:01,15:08,7470,140,Due to overloading on ICT's at 400 KV Bhadla,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 18.
Curtailment_RE_Power_march 2026,2026-03-10,solar,13:00,13:55,8422,126,Due to outage of 220 KV Aau-Baithwasa line-I,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 10.
Curtailment_RE_Power_march 2026,2026-03-11,solar,10:43,11:22,7777,15,Due to over load of 132 KV PS3-PS4,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 11.
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,8150,500,Due outage of both ICT at Bikaner for system stability,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 12.
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,8150,500,Due outage of both ICT at Bikaner for system stability,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 12.
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,8150,500,Due outage of both ICT at Bikaner for system stability,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 12.
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:22,13:32,8452,28,Due to over load of 132 KV PS3-PS4,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 12.
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,8150,500,Due outage of both ICT at Bikaner for system stability,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 12.
Curtailment_RE_Power_march 2026,2026-03-12,solar,10:45,11:45,5735,10,Due to overloading of 132 KV PS3-PS4 Line,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 13.
Curtailment_RE_Power_march 2026,2026-03-15,solar,10:45,13:05,6968,71.2,Due to overloading 220 KV Bikaner-Gajner I&II and ICT's at Bikaner,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 16.
Curtailment_RE_Power_march 2026,2026-03-16,solar,12:20,13:18,7577,103,Due to overloading of 400 KV Bhadla ICTs,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 17.
Curtailment_RE_Power_march 2026,2026-03-16,solar,11:25,13:33,7505,75,Due to over loading at 400 KV Bikaner ICTs,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 17.
Curtailment_RE_Power_march 2026,2026-03-16,solar,11:25,13:33,7505,75,Due to over loading at 400 KV Bikaner ICTs,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 17.
Curtailment_RE_Power_march 2026,2026-03-16,solar,11:25,13:33,7505,75,Due to over loading at 400 KV Bikaner ICTs,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 17.
Curtailment_RE_Power_Jan.2026,2026-01-14,solar,13:52,14:40,6523,152,Due to overload of 400 KV GSS Bhadla ICT's,https://sldc.rajasthan.gov.in/rrvpnl/download/12/697ec76b4b8cb_Curtailment_RE_Power_Jan.2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 14.
Curtailment_RE_Power_Jan.2026,2026-01-14,solar,14:40,16:25,5745,1108,Due to multiple tripping in RE pocket of Rajasthan,https://sldc.rajasthan.gov.in/rrvpnl/download/12/697ec76b4b8cb_Curtailment_RE_Power_Jan.2026.pdf,manual_from_scanned_pdf,medium,Source is image-only under pdftotext; values transcribed from rendered page 15.
