regionId,priceUSDperMWh,currency,fxToUsd,priceSource,priceYear,notes
south-korea,90,USD,1.0,KPX Annual Report 2024,2024,
taiwan,70,USD,1.0,IEA World Energy Prices 2024,2024,
mongolia,45,USD,1.0,IEA World Energy Prices 2024,2024,
kazakhstan,30,USD,1.0,IEA World Energy Prices 2024,2024,
iran,12,USD,1.0,IEA World Energy Prices 2024,2024,Heavily subsidised
iraq-mainland,15,USD,1.0,IEA World Energy Prices 2024,2024,
kurdistan,15,USD,1.0,IEA World Energy Prices 2024,2024,
jordan,85,USD,1.0,IEA World Energy Prices 2024,2024,
saudi-solar,25,USD,1.0,MEIM / PPA benchmark 2024,2024,Saudi PPA tariff benchmark
uae,30,USD,1.0,MEIM / PPA benchmark 2024,2024,
oman,35,USD,1.0,IEA World Energy Prices 2024,2024,
israel,85,USD,1.0,IEA World Energy Prices 2024,2024,
turkey,55,USD,1.0,IEA World Energy Prices 2024,2024,
egypt,25,USD,1.0,IEA World Energy Prices 2024,2024,
morocco,55,USD,1.0,IEA World Energy Prices 2024,2024,
south-africa,60,USD,1.0,Eskom Annual Report 2024,2024,
namibia,65,USD,1.0,IEA World Energy Prices 2024,2024,
kenya,95,USD,1.0,EPRA Annual Report 2024,2024,
ethiopia,20,USD,1.0,IEA World Energy Prices 2024,2024,
russia-mainland,25,USD,1.0,IEA World Energy Prices 2024,2024,
new-zealand-wind,39,NZD,0.60,Electricity Authority EMI 2024,2024,~65 NZD/MWh
new-zealand-solar,39,NZD,0.60,Electricity Authority EMI 2024,2024,
new-zealand-geo,39,NZD,0.60,Electricity Authority EMI 2024,2024,
atacama,55,USD,1.0,CDEC/CEN Annual Report 2024,2024,
chile-wind,55,USD,1.0,CDEC/CEN Annual Report 2024,2024,
argentina,40,USD,1.0,CAMMESA Annual Report 2024,2024,
uruguay,80,USD,1.0,IEA World Energy Prices 2024,2024,
paraguay,25,USD,1.0,ANDE Annual Report 2024,2024,
peru,55,USD,1.0,COES Annual Report 2024,2024,
colombia,55,USD,1.0,XM Annual Report 2024,2024,
mexico,45,USD,1.0,CENACE Annual Report 2024,2024,
honduras,80,USD,1.0,IEA World Energy Prices 2024,2024,
florida,35,USD,1.0,EIA State Electricity Profiles 2024,2024,
british-columbia,37,CAD,0.74,BCUC Annual Report 2024,2024,~50 CAD/MWh
alberta,37,CAD,0.74,AESO Annual Report 2024,2024,
ontario,41,CAD,0.74,IESO Annual Report 2024,2024,~55 CAD/MWh
quebec,30,CAD,0.74,Hydro-Quebec Annual Report 2024,2024,~40 CAD/MWh
manitoba,26,CAD,0.74,MH Annual Report 2024,2024,~35 CAD/MWh
saskatchewan,41,CAD,0.74,SaskPower Annual Report 2024,2024,
japan-kyushu,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,13000 JPY/MWh on JEPX
japan-hokkaido,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-tohoku,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-tepco,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-chubu,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-hokuriku,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-kansai,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-chugoku,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-shikoku,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
japan-okinawa,84.5,JPY,0.0065,OCCTO Annual Report 2024,2024,
gb-scotland-wind,82.6,GBP,1.27,IEA World Energy Prices,2023,UK wholesale ~65 GBP/MWh x 1.27 USD/GBP
gb-scotland-solar,82.6,GBP,1.27,IEA World Energy Prices,2023,UK wholesale ~65 GBP/MWh x 1.27 USD/GBP
gb-england-wales-wind,82.6,GBP,1.27,IEA World Energy Prices,2023,UK wholesale ~65 GBP/MWh x 1.27 USD/GBP
gb-england-wales-solar,82.6,GBP,1.27,IEA World Energy Prices,2023,UK wholesale ~65 GBP/MWh x 1.27 USD/GBP
wa-swis,45.2,AUD,0.65,AEMO WA Market Operator,2023,WA SWIS ~69.5 AUD/MWh x 0.65 USD/AUD
nt-pilbara,55.0,AUD,0.65,EIA International,2023,NT Pilbara grid ~84.6 AUD/MWh x 0.65 USD/AUD
