country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
SVK / Slovakia,,SEPS (Slovenska elektrizacna prenosova sustava),https://www.sepsas.sk/en/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,ENTSO-E A75 available; no public SEPS curtailment anchor found; low VRE share limits priority.
HUN / Hungary,,MAVIR,https://www.mavir.hu/,hungary,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,MAVIR public data (no 2023/2024 annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75; placeholder rates pending MAVIR curtailment publication or A77 substitution.
POL / Poland,,PSE,https://www.pse.pl/home,poland,T1a,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,URE 2024 Redispatching Report (PSE 597 GWh PV + 125 GWh wind + DSO additions),0.7,leave-existing-T1+,not-applicable,not-applicable,0.0,T1a: ENTSO-E A75 multiplied by URE 2024 cited rates (3.5% solar / 0.5% wind).
SVN / Slovenia,,ELES,https://www.eles.si/en,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,ENTSO-E A75 available; no public ELES curtailment anchor found.
HRV / Croatia,,HOPS,https://www.hops.hr/en,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,ENTSO-E A75 available; no public HOPS annual curtailment anchor found.
ROU / Romania,,Transelectrica,https://www.transelectrica.ro/en/web/tel/home,romania,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Transelectrica 2024 Annual Report (no curtailed-energy GWh extracted),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75; placeholder rates pending Transelectrica/ANRE extraction.
BGR / Bulgaria,,ESO (Electricity System Operator),https://www.eso.bg/en,bulgaria,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,ESO public data (no 2023/2024 annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75; placeholder rates pending ESO curtailment publication.
GRC / Greece,,IPTO (ADMIE),https://www.admie.gr/en,greece,T1a,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,HAEE Energy News Q1 2025 (IPTO 2024 RES curtailment 860 GWh),0.86,leave-existing-T1+,not-applicable,not-applicable,0.0,T1a: ENTSO-E A75 multiplied by HAEE-cited 3.6% wind+solar aggregate rate.
DNK / Denmark (DK1),,Energinet,https://www.energidataservice.dk/,denmark-west,T1a,curtailment-renewable,published,JSON-API,operator-direct / Energi Data Service,Energinet wind+solar generation feed (DK1),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses Energi Data Service JSON API natively zonal by PriceArea.
DNK / Denmark (DK2),,Energinet,https://www.energidataservice.dk/,denmark-east,T1a,curtailment-renewable,published,JSON-API,operator-direct / Energi Data Service,Energinet wind+solar generation feed (DK2),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses Energi Data Service JSON API natively zonal by PriceArea.
SWE / Sweden (SE1+SE2 north),,Svenska kraftnat,https://www.svk.se/en/,sweden-north,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75 for SE1 (10Y1001A1001A44P) + SE2 (10Y1001A1001A45N); placeholder rates pending Svk curtailment.
SWE / Sweden (SE3+SE4 south),,Svenska kraftnat,https://www.svk.se/en/,sweden-south,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75 for SE3 (10Y1001A1001A46L) + SE4 (10Y1001A1001A47J); placeholder rates pending Svk curtailment.
FIN / Finland,,Fingrid,https://www.fingrid.fi/en/,finland,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Fingrid Annual Review 2024 (no national curtailed-energy total),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader uses ENTSO-E A75; Fingrid annual review provides context not GWh; A77 substitution candidate.
NOR / Norway (NO1 Oslo),,Statnett,https://www.statnett.no/en/,norway-no1,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,NO1 hydro+wind load-centre zone via ENTSO-E A75; low expected curtailment.
NOR / Norway (NO2 Kristiansand),,Statnett,https://www.statnett.no/en/,norway-no2,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,NO2 hydro+offshore wind (NorNed/NordLink/NSL cable zone) via ENTSO-E A75.
NOR / Norway (NO3 Trondheim),,Statnett,https://www.statnett.no/en/,norway-no3,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,NO3 hydro+onshore wind via ENTSO-E A75.
NOR / Norway (NO4 Tromso),,Statnett,https://www.statnett.no/en/,norway-no4,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,NO4 export-constrained northern hydro+wind via ENTSO-E A75 (former n-norway).
NOR / Norway (NO5 Bergen),,Statnett,https://www.statnett.no/en/,norway-no5,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,NO5 reservoir hydro spring-spill only via ENTSO-E A75.
EST / Estonia,,Elering,https://elering.ee/en,baltics,T1b,curtailment-renewable,documented-gap,JSON-API,operator-direct / Elering Live API,Litgrid Lithuania-share extrapolation (no Estonia-specific curtailment),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Covered by 'baltics' region (Litgrid extrapolation); Elering also publishes own JSON API at dashboard.elering.ee.
LVA / Latvia,,AST (Augstsprieguma tikls),https://www.ast.lv/en,baltics,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Litgrid Lithuania-share extrapolation (no Latvia-specific curtailment),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Covered by 'baltics' region (Litgrid extrapolation); AST publishes via ENTSO-E A75.
LTU / Lithuania,,Litgrid,https://www.litgrid.eu/,baltics,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Litgrid public data (no 2023/2024 annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Anchor zone for 'baltics' region; Litgrid extrapolation applied across LT/LV/EE.
IRL / Ireland (Republic),,EirGrid,https://www.eirgrid.ie/grid/system-and-renewable-data-reports,ireland-republic,T1a,curtailment-renewable,published,XLSX-table,operator-direct / EirGrid SONI DD workbook,EirGrid/SONI half-hourly Dispatch Down workbook (ROI 58% of all-island),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader fetches all-island DD workbook (XLSX); split 58/42 via 2024 annual ROI/NI anchor.
GBR / Northern Ireland,,SONI,https://www.soni.ltd.uk/,northern-ireland,T1a,curtailment-renewable,published,XLSX-table,operator-direct / EirGrid SONI DD workbook,EirGrid/SONI half-hourly Dispatch Down workbook (NI 42% of all-island),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Loader fetches all-island DD workbook with EirGrid; SONI co-operates SEMO.
GBR / GB (Scotland),,National Grid ESO (NESO),https://www.neso.energy/data-portal,gb-scotland,T1a,curtailment-renewable,published,JSON-API,operator-direct / Elexon BMRS,NESO Markets Roadmap 2024 (~11 TWh/yr constraint actions; Scotland-dominant),7.7,leave-existing-T1+,not-applicable,not-applicable,0.0,Post-Brexit ESO/NESO no longer ENTSO-E member; loader uses Elexon BMRS wind+solar (Scotland 70% share).
GBR / GB (England+Wales),,National Grid ESO (NESO),https://www.elexon.co.uk/data/,gb-england-wales,T1a,curtailment-renewable,published,JSON-API,operator-direct / Elexon BMRS,NESO Markets Roadmap 2024 (England+Wales ~30% share),3.3,leave-existing-T1+,not-applicable,not-applicable,0.0,Post-Brexit ESO/NESO no longer ENTSO-E member; loader uses Elexon BMRS wind+solar England+Wales share.
CYP / Cyprus,,Cyprus TSO (TSOC),https://tsoc.org.cy/,cyprus,T3,curtailment-renewable,documented-gap,parseable-HTML-table,doc-cited / TSOC fallback,TSOC dashboard fallback (no extracted curtailed-energy total),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Currently static T3 (solar profile); TSOC publishes daily generation HTML; ENTSO-E coverage limited (island system).
MLT / Malta,,Enemalta,https://www.enemalta.com.mt/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Small island distribution utility; no transparency feed; ENTSO-E coverage minimal; low VRE curtailment expected.
