operator,iso3,fuels,collect_status,loader_key,waste_status,region_ids,notes
Arizona Public Service Solar,USA,solar,not-collecting,statics,legacy-unspecified,azps-solar,T2 annual waste anchor. Not hourly TSO collection.
Salt River Project Wind,USA,wind,not-collecting,statics,legacy-unspecified,srp-wind,T2 annual waste anchor. Not hourly TSO collection.
Salt River Project Solar,USA,solar,not-collecting,statics,legacy-unspecified,srp-solar,T2 annual waste anchor. Not hourly TSO collection.
Idaho Power Wind,USA,wind,not-collecting,statics,legacy-unspecified,ipco-wind,T2 annual waste anchor. Not hourly TSO collection.
Idaho Power Solar,USA,solar,not-collecting,statics,legacy-unspecified,ipco-solar,T2 annual waste anchor. Not hourly TSO collection.
Tucson Electric Power Wind,USA,wind,not-collecting,statics,legacy-unspecified,tepc-wind,T2 annual waste anchor. Not hourly TSO collection.
Tucson Electric Power Solar,USA,solar,not-collecting,statics,legacy-unspecified,tepc-solar,T2 annual waste anchor. Not hourly TSO collection.
New South Wales Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-nsw-wind,Existing live waste or Path-B generation×rate.
New South Wales Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-nsw-solar,Existing live waste or Path-B generation×rate.
Victoria Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-vic-wind,Existing live waste or Path-B generation×rate.
Victoria Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-vic-solar,Existing live waste or Path-B generation×rate.
Queensland Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-qld-wind,Existing live waste or Path-B generation×rate.
Queensland Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-qld-solar,Existing live waste or Path-B generation×rate.
South Australia Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-sa-wind,Existing live waste or Path-B generation×rate.
South Australia Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-sa-solar,Existing live waste or Path-B generation×rate.
Tasmania Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-tas-wind,Existing live waste or Path-B generation×rate.
Tasmania Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-tas-solar,Existing live waste or Path-B generation×rate.
Belgium Wind,BEL,wind,live-tso,,legacy-unspecified,belgium-wind,Existing live waste or Path-B generation×rate.
Belgium Solar,BEL,solar,live-tso,,legacy-unspecified,belgium-solar,Existing live waste or Path-B generation×rate.
Spain Wind,ESP,wind,live-tso,,legacy-unspecified,spain-wind,Existing live waste or Path-B generation×rate.
Spain Solar,ESP,solar,live-tso,,legacy-unspecified,spain-solar,Existing live waste or Path-B generation×rate.
Portugal Wind,PRT,wind,live-tso,,legacy-unspecified,portugal-wind,Existing live waste or Path-B generation×rate.
Portugal Solar,PRT,solar,live-tso,,legacy-unspecified,portugal-solar,Existing live waste or Path-B generation×rate.
50Hertz Wind,DEU,wind,live-tso,,legacy-unspecified,germany-50hertz-wind,Existing live waste or Path-B generation×rate.
50Hertz Solar,DEU,solar,live-tso,,legacy-unspecified,germany-50hertz-solar,Existing live waste or Path-B generation×rate.
Amprion Wind,DEU,wind,live-tso,,legacy-unspecified,germany-amprion-wind,Existing live waste or Path-B generation×rate.
Amprion Solar,DEU,solar,live-tso,,legacy-unspecified,germany-amprion-solar,Existing live waste or Path-B generation×rate.
TenneT DE Wind,DEU,wind,live-tso,,legacy-unspecified,germany-tennet-de-wind,Existing live waste or Path-B generation×rate.
TenneT DE Solar,DEU,solar,live-tso,,legacy-unspecified,germany-tennet-de-solar,Existing live waste or Path-B generation×rate.
TransnetBW Wind,DEU,wind,live-tso,,legacy-unspecified,germany-transnetbw-wind,Existing live waste or Path-B generation×rate.
TransnetBW Solar,DEU,solar,live-tso,,legacy-unspecified,germany-transnetbw-solar,Existing live waste or Path-B generation×rate.
Finland Wind,FIN,wind,live-tso,,legacy-unspecified,finland-wind,Existing live waste or Path-B generation×rate.
Finland Solar,FIN,solar,live-tso,,legacy-unspecified,finland-solar,Existing live waste or Path-B generation×rate.
France Wind,FRA,wind,live-tso,,legacy-unspecified,france-wind,Existing live waste or Path-B generation×rate.
France Solar,FRA,solar,live-tso,,legacy-unspecified,france-solar,Existing live waste or Path-B generation×rate.
Netherlands Wind,NLD,wind,live-tso,,legacy-unspecified,netherlands-wind,Existing live waste or Path-B generation×rate.
Netherlands Solar,NLD,solar,live-tso,,legacy-unspecified,netherlands-solar,Existing live waste or Path-B generation×rate.
Denmark DK1 Wind,DNK,wind,live-tso,,legacy-unspecified,denmark-west-wind,Existing live waste or Path-B generation×rate.
Denmark DK1 Solar,DNK,solar,live-tso,,legacy-unspecified,denmark-west-solar,Existing live waste or Path-B generation×rate.
Denmark DK2 Wind,DNK,wind,live-tso,,legacy-unspecified,denmark-east-wind,Existing live waste or Path-B generation×rate.
Denmark DK2 Solar,DNK,solar,live-tso,,legacy-unspecified,denmark-east-solar,Existing live waste or Path-B generation×rate.
Poland Wind,POL,wind,live-tso,,legacy-unspecified,poland-wind,Existing live waste or Path-B generation×rate.
Poland Solar,POL,solar,live-tso,,legacy-unspecified,poland-solar,Existing live waste or Path-B generation×rate.
Greece Wind,GRC,wind,live-tso,,legacy-unspecified,greece-wind,Existing live waste or Path-B generation×rate.
Greece Solar,GRC,solar,live-tso,,legacy-unspecified,greece-solar,Existing live waste or Path-B generation×rate.
Romania Wind,ROU,wind,live-tso,,legacy-unspecified,romania-wind,Existing live waste or Path-B generation×rate.
Romania Solar,ROU,solar,live-tso,,legacy-unspecified,romania-solar,Existing live waste or Path-B generation×rate.
Turkey (wind),TUR,wind,live-tso,,legacy-unspecified,turkey-wind,Existing live waste or Path-B generation×rate.
Turkey (solar),TUR,solar,live-tso,,legacy-unspecified,turkey-solar,Existing live waste or Path-B generation×rate.
Italy North Wind,ITA,wind,live-tso,,legacy-unspecified,italy-north-zone-wind,Existing live waste or Path-B generation×rate.
Italy North Solar,ITA,solar,live-tso,,legacy-unspecified,italy-north-zone-solar,Existing live waste or Path-B generation×rate.
Sicily Wind,ITA,wind,live-tso,,legacy-unspecified,italy-sicily-wind,Existing live waste or Path-B generation×rate.
Sicily Solar,ITA,solar,live-tso,,legacy-unspecified,italy-sicily-solar,Existing live waste or Path-B generation×rate.
Sardinia Wind,ITA,wind,live-tso,,legacy-unspecified,italy-sardinia-wind,Existing live waste or Path-B generation×rate.
Sardinia Solar,ITA,solar,live-tso,,legacy-unspecified,italy-sardinia-solar,Existing live waste or Path-B generation×rate.
Italy Centre-North Wind,ITA,wind,live-tso,,legacy-unspecified,italy-cnord-wind,Existing live waste or Path-B generation×rate.
Italy Centre-North Solar,ITA,solar,live-tso,,legacy-unspecified,italy-cnord-solar,Existing live waste or Path-B generation×rate.
Italy Centre-South Wind,ITA,wind,live-tso,,legacy-unspecified,italy-csud-wind,Existing live waste or Path-B generation×rate.
Italy Centre-South Solar,ITA,solar,live-tso,,legacy-unspecified,italy-csud-solar,Existing live waste or Path-B generation×rate.
Italy South Wind,ITA,wind,live-tso,,legacy-unspecified,italy-sud-wind,Existing live waste or Path-B generation×rate.
Italy South Solar,ITA,solar,live-tso,,legacy-unspecified,italy-sud-solar,Existing live waste or Path-B generation×rate.
Italy Calabria Wind,ITA,wind,live-tso,,legacy-unspecified,italy-calabria-wind,Existing live waste or Path-B generation×rate.
Italy Calabria Solar,ITA,solar,live-tso,,legacy-unspecified,italy-calabria-solar,Existing live waste or Path-B generation×rate.
Sweden North,SWE,wind,live-tso,,legacy-unspecified,sweden-north,Existing live waste or Path-B generation×rate.
Sweden South Wind,SWE,wind,live-tso,,legacy-unspecified,sweden-south-wind,Existing live waste or Path-B generation×rate.
Sweden South Solar,SWE,solar,live-tso,,legacy-unspecified,sweden-south-solar,Existing live waste or Path-B generation×rate.
Ukraine,UKR,solar,not-collecting,statics,unpublished,ukraine,Country/T3 stub — Ember/IRENA is not TSO collection.
Ukraine Wind,UKR,wind,not-collecting,statics,unpublished,ukraine-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Hungary Wind,HUN,wind,live-tso,,legacy-unspecified,hungary-wind,Existing live waste or Path-B generation×rate.
Hungary Solar,HUN,solar,live-tso,,legacy-unspecified,hungary-solar,Existing live waste or Path-B generation×rate.
Czech Republic Wind,CZE,wind,live-tso,,legacy-unspecified,czech-republic-wind,Existing live waste or Path-B generation×rate.
Czech Republic Solar,CZE,solar,live-tso,,legacy-unspecified,czech-republic-solar,Existing live waste or Path-B generation×rate.
Bulgaria Wind,BGR,wind,live-tso,,legacy-unspecified,bulgaria-wind,Existing live waste or Path-B generation×rate.
Bulgaria Solar,BGR,solar,live-tso,,legacy-unspecified,bulgaria-solar,Existing live waste or Path-B generation×rate.
Serbia Wind,SRB,wind,live-tso,,legacy-unspecified,serbia-wind,Existing live waste or Path-B generation×rate.
Serbia Solar,SRB,solar,not-collecting,statics,unpublished,serbia-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Bosnia & Herzegovina,BIH,hydro,live-tso,entsoe,unpublished,bosnia-and-herzegovina,ENTSO-E A75 generation; waste unpublished.
North Macedonia Wind,MKD,wind,live-tso,,legacy-unspecified,north-macedonia-wind,Existing live waste or Path-B generation×rate.
North Macedonia Solar,MKD,solar,not-collecting,statics,unpublished,north-macedonia-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Montenegro,MNE,hydro,live-tso,entsoe,unpublished,montenegro,ENTSO-E A75 generation; waste unpublished.
Croatia Wind,HRV,wind,live-tso,,legacy-unspecified,croatia-wind,Existing live waste or Path-B generation×rate.
Croatia Solar,HRV,solar,live-tso,,legacy-unspecified,croatia-solar,Existing live waste or Path-B generation×rate.
Slovenia Wind,SVN,wind,live-tso,,legacy-unspecified,slovenia-wind,Existing live waste or Path-B generation×rate.
Slovenia Solar,SVN,solar,live-tso,,legacy-unspecified,slovenia-solar,Existing live waste or Path-B generation×rate.
Slovakia Wind,SVK,wind,live-tso,,legacy-unspecified,slovakia-wind,Existing live waste or Path-B generation×rate.
Slovakia Solar,SVK,solar,live-tso,,legacy-unspecified,slovakia-solar,Existing live waste or Path-B generation×rate.
Lithuania Wind,LTU,wind,live-tso,entsoe,unpublished,lithuania-wind,ENTSO-E A75 generation; waste unpublished.
Lithuania Solar,LTU,solar,live-tso,entsoe,unpublished,lithuania-solar,ENTSO-E A75 generation; waste unpublished.
Latvia Wind,LVA,wind,live-tso,entsoe,unpublished,latvia-wind,ENTSO-E A75 generation; waste unpublished.
Latvia Solar,LVA,solar,live-tso,entsoe,unpublished,latvia-solar,ENTSO-E A75 generation; waste unpublished.
Estonia Wind,EST,wind,live-tso,,legacy-unspecified,estonia-wind,Existing live waste or Path-B generation×rate.
Estonia Solar,EST,solar,live-tso,,legacy-unspecified,estonia-solar,Existing live waste or Path-B generation×rate.
Luxembourg Wind,LUX,wind,live-tso,,legacy-unspecified,luxembourg-wind,Existing live waste or Path-B generation×rate.
Luxembourg Solar,LUX,solar,live-tso,,legacy-unspecified,luxembourg-solar,Existing live waste or Path-B generation×rate.
Malta,MLT,solar,live-tso,entsoe,unpublished,malta,ENTSO-E A75 generation; waste unpublished.
Moldova Wind,MDA,wind,live-tso,,legacy-unspecified,moldova-wind,Existing live waste or Path-B generation×rate.
Moldova Solar,MDA,solar,live-tso,,legacy-unspecified,moldova-solar,Existing live waste or Path-B generation×rate.
GB Scotland Wind,GBR,wind,live-tso,,legacy-unspecified,gb-scotland-wind,Existing live waste or Path-B generation×rate.
GB Scotland Solar,GBR,solar,live-tso,,legacy-unspecified,gb-scotland-solar,Existing live waste or Path-B generation×rate.
GB England+Wales Wind,GBR,wind,live-tso,,legacy-unspecified,gb-england-wales-wind,Existing live waste or Path-B generation×rate.
GB England+Wales Solar,GBR,solar,live-tso,,legacy-unspecified,gb-england-wales-solar,Existing live waste or Path-B generation×rate.
Rio Grande do Norte Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-rn-wind,Existing live waste or Path-B generation×rate.
Rio Grande do Norte Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-rn-solar,Existing live waste or Path-B generation×rate.
Ceara Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-ce-wind,Existing live waste or Path-B generation×rate.
Ceara Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-ce-solar,Existing live waste or Path-B generation×rate.
Bahia Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-bahia-wind,Existing live waste or Path-B generation×rate.
Bahia Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-bahia-solar,Existing live waste or Path-B generation×rate.
Piaui Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-piaui-wind,Existing live waste or Path-B generation×rate.
Piaui Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-piaui-solar,Existing live waste or Path-B generation×rate.
Pernambuco Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-pernambuco-wind,Existing live waste or Path-B generation×rate.
Pernambuco Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-pernambuco-solar,Existing live waste or Path-B generation×rate.
Paraiba Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-paraiba-wind,Existing live waste or Path-B generation×rate.
Paraiba Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-paraiba-solar,Existing live waste or Path-B generation×rate.
Maranhao Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-maranhao-wind,Existing live waste or Path-B generation×rate.
Maranhao Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-maranhao-solar,Existing live waste or Path-B generation×rate.
Brazil Other ONS States Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-other-wind,Existing live waste or Path-B generation×rate.
Brazil Other ONS States Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-other-solar,Existing live waste or Path-B generation×rate.
Norway NO1 Hydro (Oslo),NOR,hydro,live-tso,,legacy-unspecified,norway-no1-hydro,Existing live waste or Path-B generation×rate.
Norway NO1 Wind (Oslo),NOR,wind,live-tso,,legacy-unspecified,norway-no1-wind,Existing live waste or Path-B generation×rate.
Norway NO2 Hydro (Kristiansand),NOR,hydro,live-tso,,legacy-unspecified,norway-no2-hydro,Existing live waste or Path-B generation×rate.
Norway NO2 Wind (Kristiansand),NOR,wind,live-tso,,legacy-unspecified,norway-no2-wind,Existing live waste or Path-B generation×rate.
Norway NO3 Hydro (Trondheim),NOR,hydro,live-tso,,legacy-unspecified,norway-no3-hydro,Existing live waste or Path-B generation×rate.
Norway NO3 Wind (Trondheim),NOR,wind,live-tso,,legacy-unspecified,norway-no3-wind,Existing live waste or Path-B generation×rate.
Norway NO4 Hydro (Tromsø),NOR,hydro,live-tso,,legacy-unspecified,norway-no4-hydro,Existing live waste or Path-B generation×rate.
Norway NO4 Wind (Tromsø),NOR,wind,live-tso,,legacy-unspecified,norway-no4-wind,Existing live waste or Path-B generation×rate.
Norway NO5 (Bergen),NOR,hydro,not-collecting,statics,unpublished,norway-no5,Country/T3 stub — Ember/IRENA is not TSO collection.
Switzerland,CHE,solar,live-tso,,legacy-unspecified,switzerland,Existing live waste or Path-B generation×rate.
Ontario Wind,CAN,wind,live-tso,,legacy-unspecified,ontario-wind,Existing live waste or Path-B generation×rate.
Ontario Solar,CAN,solar,live-tso,,legacy-unspecified,ontario-solar,Existing live waste or Path-B generation×rate.
Alberta Wind,CAN,wind,live-tso,,legacy-unspecified,alberta-wind,Existing live waste or Path-B generation×rate.
Alberta Solar,CAN,solar,live-tso,,legacy-unspecified,alberta-solar,Existing live waste or Path-B generation×rate.
Ireland (Republic) Wind,IRL,wind,live-tso,,legacy-unspecified,ireland-republic-wind,Existing live waste or Path-B generation×rate.
Ireland (Republic) Solar,IRL,solar,live-tso,,legacy-unspecified,ireland-republic-solar,Existing live waste or Path-B generation×rate.
Northern Ireland Wind,GBR,wind,live-tso,,legacy-unspecified,northern-ireland-wind,Existing live waste or Path-B generation×rate.
Northern Ireland Solar,GBR,solar,live-tso,,legacy-unspecified,northern-ireland-solar,Existing live waste or Path-B generation×rate.
Peru Hydro,PER,hydro,live-tso,,legacy-unspecified,peru-hydro,Existing live waste or Path-B generation×rate.
Peru Solar,PER,solar,live-tso,,legacy-unspecified,peru-solar,Existing live waste or Path-B generation×rate.
Peru Wind,PER,wind,live-tso,,legacy-unspecified,peru-wind,Existing live waste or Path-B generation×rate.
South Africa Solar,ZAF,solar,live-tso,,legacy-unspecified,south-africa-solar,Existing live waste or Path-B generation×rate.
South Africa Wind,ZAF,wind,live-tso,,legacy-unspecified,south-africa-wind,Existing live waste or Path-B generation×rate.
New Zealand Hydro,NZL,hydro,live-tso,,legacy-unspecified,new-zealand-hydro,Existing live waste or Path-B generation×rate.
New Zealand Wind,NZL,wind,live-tso,,legacy-unspecified,new-zealand-wind,Existing live waste or Path-B generation×rate.
New Zealand Solar,NZL,solar,live-tso,,legacy-unspecified,new-zealand-solar,Existing live waste or Path-B generation×rate.
New Zealand Geo,NZL,geo,live-tso,,legacy-unspecified,new-zealand-geo,Existing live waste or Path-B generation×rate.
Atacama,CHL,solar,live-tso,,legacy-unspecified,atacama,Existing live waste or Path-B generation×rate.
Chile Wind,CHL,wind,live-tso,,legacy-unspecified,chile-wind,Existing live waste or Path-B generation×rate.
Chile Hydro,CHL,hydro,not-collecting,statics,unpublished,atacama-hydro,Country/T3 stub — Ember/IRENA is not TSO collection.
Sichuan,CHN,hydro,not-collecting,statics,unpublished,sichuan,Country/T3 stub — Ember/IRENA is not TSO collection.
Sichuan Wind,CHN,wind,not-collecting,statics,unpublished,sichuan-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Sichuan Solar,CHN,solar,not-collecting,statics,unpublished,sichuan-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Guangxi Wind,CHN,wind,not-collecting,statics,unpublished,guangxi-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Guangxi Solar,CHN,solar,not-collecting,statics,unpublished,guangxi-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Xinjiang Wind,CHN,wind,not-collecting,statics,unpublished,xinjiang-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Xinjiang Solar,CHN,solar,not-collecting,statics,unpublished,xinjiang-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Inner Mongolia Wind,CHN,wind,not-collecting,statics,unpublished,inner-mongolia-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Inner Mongolia Solar,CHN,solar,not-collecting,statics,unpublished,inner-mongolia-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Gansu Wind,CHN,wind,not-collecting,statics,unpublished,gansu-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Gansu Solar,CHN,solar,not-collecting,statics,unpublished,gansu-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Qinghai Wind,CHN,wind,not-collecting,statics,unpublished,qinghai-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Qinghai Solar,CHN,solar,not-collecting,statics,unpublished,qinghai-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Ningxia Wind,CHN,wind,not-collecting,statics,unpublished,ningxia-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Ningxia Solar,CHN,solar,not-collecting,statics,unpublished,ningxia-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Yunnan Wind,CHN,wind,not-collecting,statics,unpublished,yunnan-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Yunnan Solar,CHN,solar,not-collecting,statics,unpublished,yunnan-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Tibet Wind,CHN,wind,not-collecting,statics,unpublished,tibet-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Tibet Solar,CHN,solar,not-collecting,statics,unpublished,tibet-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Shandong Solar,CHN,solar,not-collecting,statics,unpublished,china-shandong-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Shandong Wind,CHN,wind,not-collecting,statics,unpublished,china-shandong-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Guangdong,CHN,mixed,not-collecting,statics,unpublished,china-guangdong,Country/T3 stub — Ember/IRENA is not TSO collection.
Jiangsu Wind,CHN,wind,not-collecting,statics,unpublished,china-jiangsu-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Jiangsu Solar,CHN,solar,not-collecting,statics,unpublished,china-jiangsu-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Anhui Solar,CHN,solar,not-collecting,statics,unpublished,china-anhui-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Anhui Wind,CHN,wind,not-collecting,statics,unpublished,china-anhui-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Hunan Wind,CHN,wind,not-collecting,statics,unpublished,china-hunan-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Hunan Solar,CHN,solar,not-collecting,statics,unpublished,china-hunan-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Hunan Hydro,CHN,hydro,not-collecting,statics,legacy-unspecified,china-hunan-hydro,T2 annual waste anchor. Not hourly TSO collection.
Liaoning Wind,CHN,wind,not-collecting,statics,unpublished,china-liaoning-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Liaoning Solar,CHN,solar,not-collecting,statics,unpublished,china-liaoning-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Hebei Wind,CHN,wind,not-collecting,statics,unpublished,china-hebei-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Hebei Solar,CHN,solar,not-collecting,statics,unpublished,china-hebei-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Heilongjiang Wind,CHN,wind,not-collecting,statics,unpublished,china-heilongjiang-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Heilongjiang Solar,CHN,solar,not-collecting,statics,unpublished,china-heilongjiang-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Jilin Wind,CHN,wind,not-collecting,statics,unpublished,china-jilin-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Jilin Solar,CHN,solar,not-collecting,statics,unpublished,china-jilin-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Hubei Wind,CHN,wind,not-collecting,statics,unpublished,china-hubei-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Hubei Solar,CHN,solar,not-collecting,statics,unpublished,china-hubei-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Hubei Hydro,CHN,hydro,not-collecting,statics,legacy-unspecified,china-hubei-hydro,T2 annual waste anchor. Not hourly TSO collection.
Shanxi Wind,CHN,wind,not-collecting,statics,unpublished,china-shanxi-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Shanxi Solar,CHN,solar,not-collecting,statics,unpublished,china-shanxi-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Shaanxi Solar,CHN,solar,not-collecting,statics,unpublished,china-shaanxi-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Shaanxi Wind,CHN,wind,not-collecting,statics,unpublished,china-shaanxi-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Zhejiang,CHN,mixed,not-collecting,statics,unpublished,china-zhejiang,Country/T3 stub — Ember/IRENA is not TSO collection.
Henan Solar,CHN,solar,not-collecting,statics,unpublished,china-henan-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Henan Wind,CHN,wind,not-collecting,statics,unpublished,china-henan-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Fujian,CHN,mixed,not-collecting,statics,unpublished,china-fujian,Country/T3 stub — Ember/IRENA is not TSO collection.
Jiangxi,CHN,solar,not-collecting,statics,unpublished,china-jiangxi,Country/T3 stub — Ember/IRENA is not TSO collection.
Beijing,CHN,solar,not-collecting,statics,unpublished,china-beijing,Country/T3 stub — Ember/IRENA is not TSO collection.
Guizhou Solar,CHN,solar,not-collecting,statics,unpublished,china-guizhou-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Guizhou Hydro,CHN,hydro,not-collecting,statics,legacy-unspecified,china-guizhou-hydro,T2 annual waste anchor. Not hourly TSO collection.
Chongqing Hydro,CHN,hydro,not-collecting,statics,legacy-unspecified,china-chongqing-hydro,T2 annual waste anchor. Not hourly TSO collection.
Chongqing Solar,CHN,solar,not-collecting,statics,unpublished,china-chongqing-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
