country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Tanzania,,Tanzania Electric Supply Company (TANESCO),https://www.tanesco.co.tz/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Tanzania 2024 + Julius Nyerere HPP commissioning,0.5,introduce-as-T3,T3,not-applicable,0.3500,Vertically integrated; JNHPP 2.1GW commissioning 2024-25; gas+hydro; no dispatch portal.
Zambia,,ZESCO Limited,https://www.zesco.co.zm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Zambia 2024 + Kariba drought,0.5,introduce-as-T3,T3,not-applicable,0.3500,Hydro-dependent (Kariba+Kafue); SAPP member; severe 2024-25 drought load-shedding; no dispatch portal.
GBR,England+Wales,National Energy System Operator (NESO) / Elexon BMRS,https://www.elexon.co.uk/data/,gb-england-wales,T1a,curtailment-renewable,published,JSON-API,not-probed,Elexon BMRS 2024 GB constraint payments ~11 TWh/yr (NESO Markets Roadmap 2024); E+W share ~30%,3.3,leave-existing-T1+,not-applicable,not-applicable,0.3300,Cross-ref: covered in europe-entsoe Task 7 dispatch as canonical home.
GBR / GB (England+Wales),,National Grid ESO (NESO),https://www.elexon.co.uk/data/,gb-england-wales,T1a,curtailment-renewable,published,JSON-API,operator-direct / Elexon BMRS,NESO Markets Roadmap 2024 (England+Wales ~30% share),3.3,leave-existing-T1+,not-applicable,not-applicable,0.3300,Post-Brexit ESO/NESO no longer ENTSO-E member; loader uses Elexon BMRS wind+solar England+Wales share.
USA,Texas (East/Central),ERCOT,https://www.ercot.com/,ercot-east,T1a,curtailment-renewable,published,JSON-API,known-public-API,"ERCOT 2024 State of the Market (Potomac Economics, 2025)",3.0,leave-existing-T1+,not-applicable,Pattern-A,0.3000,Sister bidding zone to ercot-west; same calibration source.
USA,Central plains,SPP,https://www.spp.org/,spp,T1a,curtailment-renewable,published,JSON-API,known-public-API,SPP 2024 State of the Market,3.0,leave-existing-T1+,not-applicable,Pattern-A,0.3000,Wind-dominant; EIA fuel-type API.
CHN,Shandong,State Grid Shandong Electric Power,http://www.sd.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,3.0,introduce-as-T3,T3,not-applicable,0.3000,Largest distributed-PV province; rising curtailment 2024; SPA portal; NEA bulletin only
GTM / Guatemala,,AMM (Administrador del Mercado Mayorista),https://www.amm.org.gt/,,not-modelled,none-expected,unknown,parseable-HTML-table,200 / text/html (WordPress),IRENA Renewable Energy Statistics 2024 (Guatemala VRE share),0.4,introduce-as-T3,T3,not-applicable,0.2800,AMM publishes Plan Operativo + Resultados de la Operacion via WordPress portal; data is mostly PDF/HTML reports.
Tunisia,,Societe Tunisienne de l'Electricite et du Gaz (STEG),https://www.steg.com.tn/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Tunisia 2024 + STEG Annual Report,0.4,introduce-as-T3,T3,not-applicable,0.2800,Gas-dominated; growing wind (Bizerte) + PV; ELMED HVDC to Italy planned; STEG publishes annual reports only.
JPN,Chubu area,Chubu Electric Power Grid,https://powergrid.chuden.co.jp/denkiyoho/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Chubu juyo-hourly CSV 2024,0.3,introduce-as-T1,T1a,Pattern-A,0.2700,Standard juyo CSV pattern; modest solar curtailment; mirror Kyushu loader
JPN,Kansai area,Kansai Transmission and Distribution,https://www.kansai-td.co.jp/denkiyoho/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Kansai juyo-hourly CSV 2024,0.3,introduce-as-T1,T1a,Pattern-A,0.2700,Standard juyo CSV pattern; solar curtailment growing; loader mirror Kyushu
JPN,Chugoku area,Chugoku Electric Power Transmission and Distribution,https://www.energia.co.jp/nw/jukyuu/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Chugoku juyo-hourly CSV 2024,0.3,introduce-as-T1,T1a,Pattern-A,0.2700,Western Honshu; juyo CSV; rising solar curtailment
IND / India,National,Grid-India (POSOCO) / NLDC,https://posoco.in/,,T2,curtailment-renewable,published,PDF-only,timeout,POSOCO RE Curtailments 2023 PDF (posoco.in/en/re-curtailments/),2.5,introduce-as-T3,T3,not-applicable,0.2500,Annual RE-curtailment reports + monthly daily-reports per RLDC; aggregate TWh is the parent of the 5 RLDC rows below
CRI / Costa Rica,,ICE / CENCE (Centro Nacional de Control de Energia),https://www.grupoice.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html (WebSphere Portal),IRENA Costa Rica 2024 (98% renewable; hydro spill not published),0.3,introduce-as-T3,T3,not-applicable,0.2100,CENCE inside ICE; portal is server-rendered IBM WebSphere. Hydro spill documented but not anchored. Different from Mexico CENACE.
Mozambique,,Electricidade de Mocambique (EDM),https://www.edm.co.mz/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Mozambique 2024,0.3,introduce-as-T3,T3,not-applicable,0.2100,Cahora Bassa HCB hydro exports to Eskom via SAPP; growing solar; no operator dispatch portal.
Senegal,,Societe Nationale d'Electricite du Senegal (SENELEC),https://www.senelec.sn/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Senegal 2024,0.3,introduce-as-T3,T3,not-applicable,0.2100,Significant wind (Taiba N'Diaye 158MW) + PV; OMVS/OMVG member; CRSE regulator; no operator dispatch portal.
TTO / Trinidad and Tobago,,T&TEC (Trinidad & Tobago Electricity Commission),https://ttec.co.tt/,,not-modelled,flare-associated-gas,documented-gap,parseable-HTML-table,unprobed,GGFR 2024 (Trinidad offshore flares ~1 BCM),0.3,introduce-as-T3,T3,not-applicable,0.2100,"Power side has minimal VRE. Flare phenomenon belongs to upstream oil/gas, not T&TEC. Could be tracked separately under GGFR."
Zimbabwe,,Zimbabwe Electricity Transmission and Distribution Company (ZETDC) / Zimbabwe Power Company (ZPC),https://www.zetdc.co.zw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Zimbabwe 2024 + Kariba South,0.3,introduce-as-T3,T3,not-applicable,0.2100,ZPC generation ZETDC T+D; Kariba South hydro+coal; SAPP member; no dispatch portal.
CHN,Hebei,State Grid Hebei Electric Power,http://www.he.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,2.0,introduce-as-T3,T3,not-applicable,0.2000,Large wind/solar capacity around Beijing; aggregated in SGCC N Branch; portal not public-data
Congo DRC,,Societe Nationale d'Electricite (SNEL),https://www.snel.cd/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA DRC 2024,0.5,introduce-as-T3,T3,not-applicable,0.2000,Inga hydro complex ~2.5GW; SAPP member; no published dispatch curtailment data.
Algeria,,Societe Algerienne de Gestion du Reseau de Transport de l'Electricite (SONELGAZ/OS),https://www.grte.dz/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,homepage-200,IRENA Country Statistics 2024,0.4,introduce-as-T3,T3,not-applicable,0.1600,Operateur Systeme; small wind+PV (~1.5GW); no public dispatch data. SPA homepage.
CHN,Shanxi,State Grid Shanxi Electric Power,http://www.sx.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.1500,Coal+wind province; SGCC N Branch; NEA bulletin only data
CHN,Heilongjiang,State Grid Heilongjiang Electric Power,http://www.hlj.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.1500,SGCC NE Branch; cold-region wind curtailment; no public hourly
CHN,Guangdong,Guangdong Power Grid (China Southern Grid),http://www.gd.csg.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.1500,CSG largest market; offshore wind + Pearl River solar; CSG transparency PDFs only
CHN,Shaanxi,State Grid Shaanxi Electric Power,http://www.sn.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.1500,NW Branch fringe; wind+solar growing; NEA bulletin only
GUY / Guyana,,GPL (Guyana Power & Light),https://www.gplinc.com/,,not-modelled,flare-associated-gas,documented-gap,parseable-HTML-table,unprobed,GGFR 2024 (Stabroek block flaring offshore),0.2,introduce-as-T3,T3,not-applicable,0.1400,Power utility small (~200 MW). Phenomenon is offshore Stabroek flares (Liza FPSO) - upstream not on grid; track separately under GGFR.
Ghana,,Ghana Grid Company (GRIDCo),https://www.gridcogh.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Ghana 2024,0.2,introduce-as-T3,T3,not-applicable,0.1400,GRIDCo TSO + ECG/NEDCo distributors; significant hydro (Akosombo) + emerging PV; publishes annual reports but no live curtailment.
JAM / Jamaica,,JPS (Jamaica Public Service Company),https://www.jpsco.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html,Office of Utilities Regulation Jamaica Annual Report 2024,0.2,introduce-as-T3,T3,not-applicable,0.1400,Vertically integrated utility; OUR Jamaica regulator publishes annual energy mix. Wigton wind farm + Content solar.
Uganda,,Uganda Electricity Transmission Company Ltd (UETCL),https://www.uetcl.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,ERA Annual Performance 2024,0.2,introduce-as-T3,T3,not-applicable,0.1400,UETCL TSO + UEDCL distribution + ERA regulator; Karuma+Isimba hydro; no live dispatch feed.
MEX / Mexico,,CENACE (Centro Nacional de Control de Energia),https://www.cenace.gob.mx/,mexico,T3,curtailment-renewable,published,CSV-download,200 / text/html,CENACE Informe Anual MEM 2024 (operations XLSX/CSV exports per balancing area),3.0,promote-to-T1,T1a,Pattern-A,0.1200,Solar curtailment in Sonora/Baja Sur reported in CENACE PML and dispatch reports; static fallback already at 3 TWh.
CHN,Guizhou,Guizhou Power Grid (China Southern Grid),http://www.gz.csg.cn/,,T2,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.1000,CSG jurisdiction; not currently modelled; modest wind/solar share; would need NEA bulletin extraction
CHN,Liaoning,State Grid Liaoning Electric Power,http://www.ln.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.1000,SGCC NE Branch; significant wind; portal walled
CHN,Jilin,State Grid Jilin Electric Power,http://www.jl.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.1000,SGCC NE Branch; wind-rich; NEA reports >5% historical
CHN,Jiangsu,State Grid Jiangsu Electric Power,http://www.js.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.1000,Coastal wind + solar; SGCC E Branch; portal not public-data
CHN,Henan,State Grid Henan Electric Power,http://www.ha.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.1000,Central CN; rising distributed PV; SGCC C Branch
JPN,Hokuriku area,Hokuriku Electric Power Transmission and Distribution,http://www.rikuden.co.jp/denki-yoho/,,not-modelled,curtailment-renewable,published,CSV-download,known-juyo-pattern,Hokuriku juyo-hourly CSV 2024,0.1,introduce-as-T1,T1a,Pattern-A,0.0900,Smaller area; juyo CSV pattern; modest curtailment
Angola,,Rede Nacional de Transporte de Electricidade (RNT),https://www.rnt.co.ao/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA Angola 2024,0.2,introduce-as-T3,T3,not-applicable,0.0800,RNT (transmission) and ENDE (distribution) split since 2016; nascent solar; no operator-published curtailment.
Burkina Faso,,Societe Nationale d'Electricite du Burkina (SONABEL),https://www.sonabel.bf/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Burkina Faso 2024,0.1,introduce-as-T3,T3,not-applicable,0.0700,Zagtouli + Nagreongo PV ~70MW; SONABEL publishes annual reports only.
CUB / Cuba,,UNE (Union Electrica de Cuba),https://www.une.cu/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,Ember Cuba Electricity Review 2024 (limited data),0.1,introduce-as-T3,T3,not-applicable,0.0700,State utility; minimal VRE; chronic supply shortage. No public dispatch data. Ember has aggregated annual estimate.
Cameroon,,Energy of Cameroon (ENEO) / SONATREL,https://eneo.cm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Cameroon 2024,0.1,introduce-as-T3,T3,not-applicable,0.0700,SONATREL=transmission since 2018; ENEO=distribution; mostly hydro; no dispatch portal.
Cote d'Ivoire,,Compagnie Ivoirienne d'Electricite (CIE),https://www.cie.ci/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Cote d'Ivoire 2024,0.1,introduce-as-T3,T3,not-applicable,0.0700,Major WAPP exporter; thermal+hydro; growing PV; no operator-direct curtailment series.
GTM / Guatemala,SIEPAC,EOR (Ente Operador Regional),https://www.enteoperador.org/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,IRENA Central America Interconnect 2024,0.1,introduce-as-T3,T3,not-applicable,0.0700,Central American Interconnect coordinator (SIEPAC). Publishes monthly Informe de Operacion Regional as PDF.
Mauritania,,Societe Mauritanienne d'Electricite (SOMELEC),https://somelec.mr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Mauritania 2024,0.1,introduce-as-T3,T3,not-applicable,0.0700,Boulenouar wind 100MW + Sheikh Zayed PV; OMVS member; no dispatch portal.
NIC / Nicaragua,,CNDC / ENATREL,https://www.enatrel.gob.ni/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,IRENA Nicaragua VRE statistics 2024,0.1,introduce-as-T3,T3,not-applicable,0.0700,CNDC sits inside ENATREL; publishes weekly bulletins as PDF on transmission ops. Geothermal+wind ~25% mix; no curtailment anchor.
JPN,Kyushu area,Kyushu Electric Power Transmission and Distribution,https://www.kyuden.co.jp/td_power_usages/pc.html,japan,T1a,curtailment-renewable,published,CSV-download,homepage-200-csv-confirmed,Kyushu juyo-hourly CSV ~1.7 TWh 2024,1.7,leave-existing-T1+,not-applicable,not-applicable,0.0680,Already modelled as `japan` Tier 1 anchor (10% calibrated); CSV confirmed via probe
Canada,Ontario,Independent Electricity System Operator (IESO),https://www.ieso.ca/,ontario,T1a,curtailment-renewable,published,CSV-download,known-public-CSV,IESO 2024 Annual Planning Outlook + GenOutputCapability daily CSV,1.5,leave-existing-T1+,not-applicable,Pattern-A,0.0600,IESO publishes daily GenOutputCapability CSV per generator.
TUR,,Turkiye Elektrik Iletim AS (TEIAS) / EPIAS,https://seffaflik.epias.com.tr/,turkey,T1a,curtailment-renewable,published,JSON-API,not-probed,TEIAS/EPIAS 2024 RES curtailment ~0.5 TWh (EPIAS Transparency Dashboard),0.5,leave-existing-T1+,not-applicable,not-applicable,0.0500,Existing T1a region. EPIAS Seffaflik platform (Pattern-A JSON) feeds the loader.
USA,Mid-Atlantic,PJM,https://www.pjm.com/,pjm,T1a,curtailment-renewable,published,JSON-API,known-public-API,PJM Renewable Integration Study 2024; PJM Markets Monitor 2024,0.5,leave-existing-T1+,not-applicable,Pattern-A,0.0500,Small but growing curtailment in NJ/MD/VA solar; EIA feed.
CHN,Hubei,State Grid Hubei Electric Power,http://www.hb.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0500,Central CN province; low curtailment historically; SGCC portal SPA
CHN,Hunan,State Grid Hunan Electric Power,http://www.hn.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0500,Central CN; small RE curtailment; SGCC portal SPA
CHN,Zhejiang,State Grid Zhejiang Electric Power,http://www.zj.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0500,Coastal solar+wind; SGCC E Branch; low historical curtailment
CHN,Anhui,State Grid Anhui Electric Power,http://www.ah.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0500,Eastern CN; modest RE; SGCC E Branch
CHN,Guangxi,Guangxi Power Grid (China Southern Grid),http://www.gx.csg.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0500,CSG jurisdiction; modest wind+solar; no hourly public
Philippines,,National Grid Corporation of the Philippines (NGCP),https://www.ngcp.ph/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,homepage 403 on probe; Operations page documents TDP; reports as PDF,NGCP Transmission Development Plan 2025-2050,0.5,introduce-as-T3,T3,not-applicable,0.0500,NGCP system operator; PEMC/IEMOP market operator. NREL studies show solar+wind curtailment <7.6% scenarios. Curtailment growing with offshore-wind pipeline.
Philippines,,Independent Electricity Market Operator of the Philippines (IEMOP / WESM),https://www.iemop.ph/,,not-modelled,curtailment-renewable,published,PDF-only,public dashboard real-time prices+gen-mix; daily reports ZIP+PDF; bulk data via subscription,IEMOP Annual Market Assessment Report 2024,0.5,introduce-as-T3,T3,not-applicable,0.0500,IEMOP operates WESM (Luzon+Visayas; Mindanao integrating). Real-time mix dashboard but bulk historical via paid 'Knowledge Suites'. PEMC governance.
Philippines,,Philippine Electricity Market Corporation (PEMC),https://www.wesm.ph/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,wesm.ph is governance/rules portal; downloads are policy PDFs,PEMC Market Assessment Reports 2024,0.5,introduce-as-T3,T3,not-applicable,0.0500,PEMC = WESM governance body; IEMOP is delegated market operator since 2018. Cross-ref IEMOP row for data.
USA,Tennessee/Southeast,Tennessee Valley Authority,https://www.tva.com/,,not-modelled,curtailment-renewable,unknown,JSON-API,known-public-API,"EIA Hourly Electric Grid Monitor (TVA balancing authority, 2024)",0.05,introduce-as-T3,T3,not-applicable,0.0500,TVA solar/wind small (~5 GW); EIA hourly feed available but no TVA-published curtailment TWh figure.
BRB / Barbados,,BLPC (Barbados Light & Power Company),https://www.blpc.com.bb/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,IRENA Barbados Renewables 2024 (rooftop PV penetration),0.05,introduce-as-T3,T3,not-applicable,0.0350,Investor-owned (Emera). Rising rooftop PV; FRCS Caribbean reports occasional inverter trips. No anchored hourly feed.
Benin,,Societe Beninoise d'Energie Electrique (SBEE),https://sbee.bj/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Benin 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Imports ~80% from CIE/Nigeria via WAPP; minimal domestic VRE; no operator dispatch portal.
Botswana,,Botswana Power Corporation (BPC),https://www.bpc.bw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Botswana 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Vertically integrated utility under SAPP; small Mmadinare PV; no published curtailment.
Cambodia,,Electricity Authority of Cambodia (EAC),https://eac.gov.kh/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,EAC = regulator only (licensing/tariffs); no SCADA. EDC operates grid,Asian Development Bank Cambodia Energy Sector Assessment 2024,0.05,blocked-document-only,not-applicable,not-applicable,0.0350,EAC regulator; Electricite du Cambodge (EDC) is the dispatching utility. Solar ~470MW 2024; curtailment minimal. EDC site has no public ops data.
Eswatini,,Eswatini Electricity Company (EEC),https://www.eec.co.sz/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Eswatini 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,SAPP member; biomass+hydro+imports from Eskom; no dispatch portal.
Gabon,,Societe d'Energie et d'Eau du Gabon (SEEG),https://www.seeg-gabon.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Gabon 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Hydro+gas; oil-flaring relevant via GGFR; SEEG publishes corporate news only.
JPN,Okinawa area,Okinawa Electric Power Company,https://www.okiden.co.jp/business-support/service/supply-and-demand/,,not-modelled,curtailment-renewable,published,parseable-HTML-table,known-html-table,Okinawa juyo HTML 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Small isolated island; HTML demand table only; small curtailment phenomenon; T3 sufficient
Madagascar,,Jiro sy Rano Malagasy (JIRAMA),https://www.jirama.mg/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Madagascar 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Hydro+thermal; small isolated grids; no dispatch portal.
